open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_volume,taker_buy_quote_volume,day_of_week,hour_of_day,ma_14,ema_14,bb_upper,bb_lower,rsi_14,close_lag1,close_lag2,returns_1m
2024-01-01 01:12:00,42446.01,42452.34,42442.73,42452.34,11.6603,2024-01-01 01:12:59.999,494932.7961448,439,4.66053,197823.4120767,0,1,42449.66285714286,42449.54596216692,42489.54498352678,42422.69301647322,37.80636860726787,42446.02,42448.71,0.00014889499651560278
2024-01-01 01:13:00,42452.34,42471.1,42452.33,42471.09,10.25242,2024-01-01 01:13:59.999,435308.8438538,474,8.34852,354467.037281,0,1,42449.36714285715,42452.41850054466,42490.911418809876,42424.300581190124,48.69958537504501,42452.34,42446.02,0.0004416717665032266
2024-01-01 01:14:00,42471.1,42471.1,42466.32,42466.33,5.45585,2024-01-01 01:14:59.999,231698.6779181,384,1.86028,79002.643679,0,1,42450.14357142857,42454.27336713871,42491.47102288555,42424.41897711445,53.76985503225474,42471.09,42452.34,-0.00011207623821274382
2024-01-01 01:15:00,42466.32,42476.73,42466.32,42476.73,4.96801,2024-01-01 01:15:59.999,210986.5174168,378,3.97648,168874.5755896,0,1,42452.45071428571,42457.26758485355,42492.96875101565,42424.087248984346,61.25121917235766,42466.33,42471.09,0.00024489990069787027
2024-01-01 01:16:00,42476.73,42495.71,42476.73,42495.7,8.55967,2024-01-01 01:16:59.999,363642.54444,393,7.99698,339736.3920823,0,1,42454.90857142857,42462.391906873076,42496.40122792819,42422.209772071816,61.812564366632095,42476.73,42466.33,0.00044659746642450315
2024-01-01 01:17:00,42495.7,42495.71,42493.58,42493.59,5.56665,2024-01-01 01:17:59.999,236555.5084734,259,1.25009,53122.4066295,0,1,42458.650714285715,42466.55165262333,42497.07257027697,42421.82442972303,70.51774105114988,42495.7,42476.73,-4.965208244600561e-05
2024-01-01 01:18:00,42493.58,42493.59,42487.44,42487.44,5.53092,2024-01-01 01:18:59.999,235026.9820062,353,1.48788,63225.0436416,0,1,42462.35857142857,42469.33676560689,42496.4658638556,42422.150136144395,70.25360905189689,42493.59,42495.7,-0.0001447277106969569
2024-01-01 01:19:00,42487.45,42493.62,42478.07,42493.61,12.52454,2024-01-01 01:19:59.999,532083.2195015,487,10.30488,437782.0947548,0,1,42466.10857142857,42472.5731968593,42499.86903887682,42420.584961123175,70.38993319869883,42487.44,42493.59,0.00014521938718825567
2024-01-01 01:20:00,42493.61,42500.0,42493.61,42499.99,4.46182,2024-01-01 01:20:59.999,189617.9088093,372,2.98111,126689.6287624,0,1,42469.02142857143,42476.2287706114,42505.79743481515,42419.10956518486,67.42437190224217,42493.61,42487.44,0.0001501402210826175
2024-01-01 01:21:00,42500.0,42513.17,42499.99,42502.74,23.97695,2024-01-01 01:21:59.999,1019256.5584421,646,5.21984,221860.6048799,0,1,42472.86,42479.763601196544,42511.37120127452,42419.366798725474,74.52537422417389,42499.99,42493.61,6.470589757778811e-05
2024-01-01 01:22:00,42502.73,42502.74,42499.96,42499.96,6.56761,2024-01-01 01:22:59.999,279134.1323712,372,0.3715,15789.2375611,0,1,42476.50357142857,42482.45645437034,42515.76755539802,42418.83744460197,72.7135096624877,42502.74,42499.99,-6.540754784278846e-05
2024-01-01 01:23:00,42499.96,42499.97,42487.56,42487.57,7.564,2024-01-01 01:23:59.999,321421.4257386,414,4.45523,189316.2664193,0,1,42480.130000000005,42483.138260454296,42517.25781632383,42421.98418367617,72.55842886341739,42499.96,42502.74,-0.00029152968614554187
2024-01-01 01:24:00,42487.56,42487.57,42478.07,42478.07,9.17034,2024-01-01 01:24:59.999,389555.8480854,356,7.79212,331003.853303,0,1,42482.22714285715,42482.46249239372,42516.698783659194,42426.797216340805,63.330911732657874,42487.57,42499.96,-0.00022359480666933607
2024-01-01 01:25:00,42478.07,42487.6,42478.07,42487.59,7.6078,2024-01-01 01:25:59.999,323218.7424568,398,5.5528,235907.5893116,0,1,42485.19642857143,42483.14616007456,42517.119058509415,42431.024941490585,67.77255237281253,42478.07,42487.57,0.00022411564367197379
2024-01-01 01:26:00,42487.59,42508.5,42470.0,42508.49,22.08965,2024-01-01 01:26:59.999,938556.7454758,774,11.41874,485196.632429,0,1,42489.207142857136,42486.525338731284,42521.59567430439,42431.47632569561,71.34494031780251,42487.59,42478.07,0.0004919083431185189
2024-01-01 01:27:00,42508.49,42508.53,42508.49,42508.53,13.54787,2024-01-01 01:27:59.999,575899.6411647,399,7.44545,316494.9480405,0,1,42491.881428571425,42489.45929356712,42524.77773326022,42434.247266739774,66.59280269456198,42508.49,42487.59,9.409884942357394e-07
2024-01-01 01:28:00,42508.53,42511.1,42504.44,42504.45,9.79352,2024-01-01 01:28:59.999,416328.8801394,497,5.97539,254018.9559328,0,1,42494.60428571428,42491.45805442484,42526.455293398365,42438.11970660162,66.99661137863407,42508.53,42508.49,-9.598073610173063e-05
2024-01-01 01:29:00,42504.45,42504.45,42493.16,42493.16,10.55756,2024-01-01 01:29:59.999,448702.6670604,482,3.70634,157516.9036586,0,1,42495.77785714286,42491.68498050153,42523.9209811627,42446.290018837295,57.267981951695845,42504.45,42508.53,-0.00026561924692580785
2024-01-01 01:30:00,42493.16,42502.68,42493.16,42502.67,7.06172,2024-01-01 01:30:59.999,300107.6991396,400,6.11257,259769.3726707,0,1,42496.275714285715,42493.14964976799,42523.329154644096,42452.27784535589,53.36487399826333,42493.16,42504.45,0.00022380072463423772
2024-01-01 01:31:00,42502.68,42520.47,42502.67,42520.46,10.61104,2024-01-01 01:31:59.999,451064.2735961,613,9.35878,397832.4350625,0,1,42498.195,42496.79102979893,42524.094012707785,42458.95698729222,61.266247379458086,42502.67,42493.16,0.0004185619397558682
2024-01-01 01:32:00,42520.46,42555.76,42520.46,42554.19,16.31082,2024-01-01 01:32:59.999,693798.0353893,1177,11.79353,501635.1854046,0,1,42502.96285714286,42504.44422582574,42534.76184994227,42458.47415005774,72.73036845331534,42520.46,42502.67,0.0007932651716373584
2024-01-01 01:33:00,42554.2,42565.22,42554.19,42565.22,9.65282,2024-01-01 01:33:59.999,410792.3148906,708,4.90678,208815.567828,0,1,42508.07785714285,42512.54766238231,42548.391218367564,42454.25778163244,73.60406091370768,42554.19,42520.46,0.00025919891789727423
2024-01-01 01:34:00,42565.21,42574.5,42565.21,42565.22,21.33831,2024-01-01 01:34:59.999,908406.2967137,754,10.9742,467172.4363582,0,1,42512.73714285714,42519.57064073134,42558.365305920124,42454.172694079876,72.4451173353546,42565.22,42554.19,0.0
2024-01-01 01:35:00,42565.22,42628.81,42565.21,42620.0,125.9525,2024-01-01 01:35:59.999,5366047.1853706,3587,82.12337,3498493.9661013,0,1,42521.112857142856,42532.96122196716,42584.40690958393,42442.458090416076,79.71014492753837,42565.22,42565.22,0.0012869662132604098
2024-01-01 01:36:00,42620.0,42689.11,42620.0,42672.19,65.41745,2024-01-01 01:36:59.999,2790452.3355324,4220,45.85696,1955981.5916693,0,1,42533.415,42551.525059038206,42622.003582708894,42422.5104172911,84.8996960486339,42620.0,42565.22,0.0012245424683248185
2024-01-01 01:37:00,42672.2,42736.04,42672.19,42711.09,83.02428,2024-01-01 01:37:59.999,3545570.7252153,4235,52.05575,2222774.7852362,0,1,42549.38071428571,42572.80038449978,42662.69023817068,42403.57376182931,90.89877772085322,42672.19,42620.0,0.000911600740435281
2024-01-01 01:38:00,42711.1,42775.0,42681.1,42766.06,116.61986,2024-01-01 01:38:59.999,4984485.3903782,4775,77.27547,3302612.2459451,0,1,42569.951428571425,42598.56833323315,42711.230174243035,42382.895825756954,95.17773664230042,42711.09,42672.19,0.001287019366633002
